,area,value,year,item
33,広島県,137528.89908256882,1959.0,pergdp
34,山口県,135345.48825710756,1959.0,pergdp
35,徳島県,99532.71028037382,1959.0,pergdp
36,香川県,115803.87931034484,1959.0,pergdp
37,愛媛県,117137.86279683375,1959.0,pergdp
38,高知県,99870.66974595842,1959.0,pergdp
39,福岡県,140675.96513075967,1959.0,pergdp
40,佐賀県,94269.87447698745,1959.0,pergdp
41,長崎県,97126.1971830986,1959.0,pergdp
42,熊本県,83099.57401490948,1959.0,pergdp
43,大分県,104910.54313099042,1959.0,pergdp
44,宮崎県,84663.45311130588,1959.0,pergdp
45,鹿児島県,79485.15349773529,1959.0,pergdp
46,沖縄県,57768.0412371134,1959.0,pergdp
0,北海道,160794.60210359198,1960.0,pergdp
1,青森県,101483.53188507358,1960.0,pergdp
2,岩手県,108947.55003450657,1960.0,pergdp
3,宮城県,123545.61101549053,1960.0,pergdp
4,秋田県,123473.80239520955,1960.0,pergdp
5,山形県,110091.59727479184,1960.0,pergdp
6,福島県,111660.65333983424,1960.0,pergdp
7,茨城県,120297.99706888128,1960.0,pergdp
8,栃木県,141182.95904887715,1960.0,pergdp
9,群馬県,115833.9670468948,1960.0,pergdp
10,埼玉県,120278.4862196627,1960.0,pergdp
11,千葉県,109588.03122289678,1960.0,pergdp
12,東京都,284233.16811235034,1960.0,pergdp
13,神奈川県,220439.1519024107,1960.0,pergdp
14,新潟県,130555.69205569205,1960.0,pergdp
15,富山県,164871.24878993226,1960.0,pergdp
16,石川県,160010.2774922919,1960.0,pergdp
17,福井県,137976.0956175299,1960.0,pergdp
18,山梨県,112741.68797953965,1960.0,pergdp
19,長野県,121185.76476527008,1960.0,pergdp
20,岐阜県,151700.85470085472,1960.0,pergdp
21,静岡県,179458.99854862122,1960.0,pergdp
22,愛知県,231490.48977650976,1960.0,pergdp
23,三重県,165956.90235690234,1960.0,pergdp
24,滋賀県,156024.91103202847,1960.0,pergdp
25,京都府,166123.43201204215,1960.0,pergdp
26,大阪府,254417.07538601273,1960.0,pergdp
27,兵庫県,183589.60573476698,1960.0,pergdp
28,奈良県,132321.3828425096,1960.0,pergdp
29,和歌山県,164530.93812375248,1960.0,pergdp
30,鳥取県,121121.8697829716,1960.0,pergdp
31,島根県,110237.34533183351,1960.0,pergdp
32,岡山県,137401.19760479042,1960.0,pergdp
33,広島県,167666.2087912088,1960.0,pergdp
34,山口県,175283.39575530586,1960.0,pergdp
35,徳島県,118044.8642266824,1960.0,pergdp
36,香川県,130058.75952121873,1960.0,pergdp
37,愛媛県,136786.1425716189,1960.0,pergdp
38,高知県,115139.18128654972,1960.0,pergdp
39,福岡県,161238.83204392315,1960.0,pergdp
40,佐賀県,114364.79321314953,1960.0,pergdp
41,長崎県,100697.1590909091,1960.0,pergdp
42,熊本県,93116.37931034484,1960.0,pergdp
43,大分県,114904.03225806453,1960.0,pergdp
44,宮崎県,102200.0,1960.0,pergdp
45,鹿児島県,88164.03464085583,1960.0,pergdp
46,沖縄県,69561.85567010309,1960.0,pergdp
0,北海道,183768.5787502464,1961.0,pergdp
1,青森県,115995.7953749124,1961.0,pergdp
2,岩手県,122279.08587257618,1961.0,pergdp
3,宮城県,146313.79310344823,1961.0,pergdp
4,秋田県,147969.10324039185,1961.0,pergdp
5,山形県,128077.09923664122,1961.0,pergdp
6,福島県,125588.61070201275,1961.0,pergdp
7,茨城県,155398.92839746713,1961.0,pergdp
8,栃木県,168401.8506278916,1961.0,pergdp
9,群馬県,144098.67172675524,1961.0,pergdp
10,埼玉県,144946.3356027233,1961.0,pergdp
11,千葉県,139823.42954159592,1961.0,pergdp
12,東京都,349788.80305006524,1961.0,pergdp
13,神奈川県,272487.52079866885,1961.0,pergdp
